name,domain,website_summary,linkedin_product_summary,linkedin_other_summary,last_post_date,inactive_6m,contradiction_notes,category,primary_user_summary,funding_status,funding_amount,funding_confidence,sources,data_notes,last_updated
Aiera,https://aiera.com/,"Aiera is a permissioned content platform that gives investment professionals compliant, auditable access to broker research, expert insights, event transcripts, filings, and financial news through APIs, an MCP server, and dashboard tools. It is built for asset managers, hedge funds, and other institutional investors who need to integrate proprietary sell-side research into their AI workflows.","Aiera's MCP server connects LLMs to its proprietary financial research corpus, delivering an average 2.4x improvement on financial research questions that the open web cannot answer, tested across 13 models. The platform also publishes an Aiera Leaderboard that benchmarks LLM performance specifically on broker research tasks, and offers enterprise APIs plus embeddable UI components for integrating permissioned research content into existing workflows.","Aiera closed a $25M Series B in 2025, backed by a consortium of ten major Wall Street banks including Bank of America, Barclays, Citi, Deutsche Bank, and UBS, plus expert network firm Third Bridge, with Microsoft as a strategic technology partner. The company has been active at industry events including BattleFin Discovery Day NYC and Unbundling Uncovered NYC, and recently appointed Eric Lebovich, CFA, formerly of Point72, AlphaSense, Bloomberg, and FactSet, as Head of Product Management.",2026-07-29,No,,Research Analysts,"Equity research analysts and investment professionals at buy-side firms use Aiera to search, retrieve, and analyze permissioned broker research, earnings transcripts, expert network content, and filings through AI-powered tools integrated directly into their existing research workflows.",Funded,$25M Series B,Verified,Website: https://aiera.com/ | LinkedIn (company funding data): https://www.linkedin.com/company/aiera-inc | Funding (web search): https://fintech.global/2025/06/10/generative-ai-platform-aiera-raises-25m-series-b-round,,2026-07-09
AlphaWatch AI,https://alphawatch.ai/,"Alphawatch builds AI-powered research workflows for investment firms — private equity, hedge funds, and growth equity — that automate due diligence by ingesting a firm's own memos, filings, and transcripts and continuously monitoring them as sources change. The output is repeatable, firm-specific research artifacts rather than one-off AI queries.","Alphawatch partners with private equity teams to run automated due diligence calls and validate investment assumptions in hours instead of weeks using voice AI. The platform replaces manual surveys with AI-driven ground-truth market intelligence gathering that is faster, cheaper, and more precise.","A company executive (Rui Ma, COO) participated in a TechCrunch Disrupt panel on 'China and the Future of Global AI' alongside investors and Pakistan tech industry representatives, highlighting Alphawatch's presence at major tech conferences.",2025-12-02,Yes,,Research Analysts,"Research analysts and due diligence teams at private equity, growth equity, and hedge funds use this to automate company diligence workflows — replacing manual surveys and analyst-hours with continuously running AI systems built on the firm's own materials.",Funded,$500K Convertible Note,Verified,Website: https://alphawatch.ai/ | LinkedIn (company funding data): https://www.linkedin.com/company/alphawatch-ai | Funding (web search): https://www.cbinsights.com/company/alphawatch-ai/financials,,2026-07-09
Axyon AI,https://axyon.ai/,"Axyon AI sells AI-powered tools for asset managers, hedge funds, and institutional investors, including predictive stock ranking signals, model portfolios, and an agentic AI platform for thematic research and index creation.","Axyon AI offers predictive AI signals that rank stocks by expected relative performance over 1-week, 1-month, or 3-month horizons, and an agentic AI platform (Axyon Foresight) for thematic ideation and new product launches like indices and funds. The company distinguishes its predictive models from LLMs, noting that LLMs are unsuitable for financial forecasting due to inconsistent outputs and inability to generate trading profits.","Axyon AI celebrated its 10th anniversary with a brand refresh and new website, was named to the Sifted 100 Southern Europe 2026 list as the only investment-management AI firm on the ranking, and recently closed a €4.3M funding round. The team also attended industry events including Sofia User Network 2026 and Fabbrica ITALIA, and recruited at the University of Modena.",2026-07-22,No,,Portfolio Managers / Traders,"Portfolio managers and investment analysts at asset managers, hedge funds, and institutional investors use Axyon AI daily to identify alpha opportunities, rank securities by predicted relative performance, and validate investment theses with AI-generated signals.",Funded,€4.3M Series A,Verified,Website: https://axyon.ai/ | LinkedIn (company funding data): https://www.linkedin.com/company/axyon-ai | Funding (web search): https://axyon.ai/news/fundraising-march-2025,,2026-07-09
Big Data,https://bigdata.com/,"Bigdata.com provides a data platform for finance professionals, offering AI agents that search across news, regulatory filings, financial data, press releases, and alternative datasets to automate research and investment workflows. It is built for asset managers, analysts, and quant teams who need auditable, finance-specific AI tools rather than generic AI.",,,,Yes,,Research Analysts,"Research analysts at hedge funds and asset managers use this platform to run multi-step analysis across news, filings, transcripts, and financial datasets, with full source citations and automated pre-market and earnings summaries.",,,Unverified,Website: https://bigdata.com/ | LinkedIn (company funding data): https://www.linkedin.com/company/big-data,LinkedIn: page found but no recent posts,2026-07-09
Bridgewise,https://bridgewise.com/,"BridgeWise sells an AI-powered investment intelligence platform to financial institutions, brokerages, and trading platforms, giving their clients automated stock, fund, bond, crypto, and sentiment analysis across 70,000+ global securities in multiple languages.","BridgeWise offers a suite of AI tools including SentimentWise (real-time social sentiment signals from X data), SignalWise (near real-time market alerts, deployed with GMO Coin for Forex and crypto), pAI (a personalized AI wealth agent for retail investors), and FundWise (ETF and fund analysis covering 3,000+ ETFs via Ultumus), all distributed through partners like Alpaca's Broker API.","BridgeWise acquired Context Analytics, attended iFX EXPO International in Cyprus, announced a strategic partnership with GMO Coin in Japan, and was featured in Financial IT for its H1 2026 momentum across products and partnerships.",2026-07-28,No,,Research Analysts,"Research analysts and investment product teams at brokerages and trading platforms use BridgeWise daily to deliver automated, multilingual equity, fund, and sentiment analysis to their retail and institutional investor clients.",Funded,$21M Series A,Verified,Website: https://bridgewise.com/ | LinkedIn (company funding data): https://www.linkedin.com/company/bridgewise | Funding (web search): https://fintech.global/2024/04/17/bridgewise-raises-21m-in-new-funding-to-expand-its-ai-financial-intelligence-platform-globally,,2026-07-09
Brightdata,https://brightdata.com/,"Bright Data sells web data infrastructure—proxy networks, scraping APIs, browser tools, and ready-made datasets—to businesses that need to collect public web data at scale. Customers include AI companies, eCommerce, financial services, market research, and cybersecurity teams.","Bright Data offers a self-healing AI scraper builder (Scraper Studio) that turns any public website into a hosted data API from a single prompt, with built-in proxy rotation, CAPTCHA handling, and integrations with coding agents like Claude Code and Cursor. It also provides an MCP server, a Kiro IDE plugin, and live structured data powering over 100 million AI-agent interactions per day.","Bright Data's CEO spoke at RAISE Summit and MACHINA Summit on AI data infrastructure, and the company runs an AI Startup Program supporting early-stage founders. It also launched Bright Ventures, a corporate VC fund, and announced a strategic investment in Tangos, which raised a $20M Seed round.",2026-07-22,No,,Quant / Data Engineering,"Data and quant engineering teams at financial institutions use Bright Data to build automated pipelines that pull live public web data—competitor pricing, market signals, company filings—into models and analytics workflows.",Funded,,Partial,Website: https://brightdata.com/ | LinkedIn (company funding data): https://www.linkedin.com/company/bright-data | Funding (web search): https://tracxn.com/d/companies/bright-data/__FwsiQppLF0M0L3P8vsc1yL61jPTc_upDg_1vjwaBo1g,,2026-07-23
Brightwave,https://brightwave.io/,"Brightwave sells an AI research platform that deploys autonomous agents to process thousands of documents, synthesize information, and produce verified deliverables (reports, memos, briefings) for enterprise teams at financial institutions and other organizations.","Brightwave has added real-time integrations with Microsoft 365, Salesforce, Dropbox, and Box so agents can pull live data from CRMs, inboxes, and deal files; it also now runs natively inside Word, Excel, PowerPoint, and Outlook, plus a Chrome extension and desktop apps for Mac, Windows, and Linux.",CEO Mike Conover spoke at WebSummit on open-source AI and was quoted in The Washington Post on US-China AI competition; the company also commented publicly on AI skills gaps and national AI policy.,2026-06-10,No,,Research Analysts,"Research analysts at hedge funds, private equity, and asset management firms use Brightwave daily to automate document-heavy research workflows — such as reviewing SEC filings, data rooms, and earnings transcripts — and produce verified, citable deliverables in minutes.",Funded,$15M Series A,Verified,Website: https://brightwave.io/ | LinkedIn (company funding data): https://www.linkedin.com/company/brightwaveio | Funding (web search): https://globalfintechseries.com/artificial-intelligence/brightwave-secures-15-million-series-a-to-scale-ai-powered-financial-research-platform,,2026-07-09
Carriage Models,https://carriagemodels.com/,"Carriage Models builds and implements AI workflow automation for private equity deal teams and portfolio companies, helping them reduce manual labor, improve throughput, and produce measurable EBITDA impact. They scope, build, and measure specific workflows inside tools clients already use, serving both fund-level investment teams and portfolio company management teams.","Carriage Models integrates directly with Claude and supports GPT-5.5, enabling PE deal teams to run deal screening, financial data cuts, memos, and diligence research in their firm's own style from within those AI platforms. For portfolio companies, they build custom automation systems targeting specific high-labor workflows to generate measurable cost savings and EBITDA improvement.","Carriage runs monthly penetration testing on its platform given the sensitivity of deal materials and portfolio company data it handles. The company noted 2026 as a breakout year and has met with both Anthropic and OpenAI teams, positioning itself alongside the trend of forward-deployed AI implementation partners.",2026-06-24,No,,Research Analysts,"Private equity associates, VPs, and partners at PE firms use Carriage as their primary deal-team AI tool for diligence, research, deal screening, and memo generation, while portfolio company management teams use it to automate high-cost operating workflows.",,,Unverified,Website: https://carriagemodels.com/ | LinkedIn (company funding data): https://www.linkedin.com/company/carriagemodels,,2026-07-09
Catalyst,https://catalyst.app/,"Catalyst is an AI-powered trading platform that converts a user's investment thesis or idea into a live trading strategy, then autonomously executes and backtests it across stocks, commodities, crypto, and prediction markets. It is aimed at individual traders and investors who want automated, multi-asset strategy execution without manual coding.",,,,Yes,,Portfolio Managers / Traders,"Individual traders and active investors use this platform daily to convert investment ideas into automated, backtested trading strategies executed across equities, crypto, commodities, and prediction markets.",,,Unverified,Website: https://catalyst.app/,LinkedIn: no verified page found,2026-07-09
Chatsheet,https://chatsheet.com/,"Chatsheet AI is an AI-powered spreadsheet platform that lets users automate workflows using plain English commands. It is built for business teams that want to eliminate manual data entry, bulk-process data, and run automated outreach without adding headcount.","Chatsheet lets users paste a URL or drop a PDF to extract structured data instantly, and process hundreds of spreadsheet rows simultaneously with AI. It also enables sending 100+ personalized LinkedIn or email messages directly from spreadsheet cells, with real-time collaboration and no formulas required.",The company is hiring a B2B social media manager and is targeting 5 billion impressions after hitting 1 billion last year. Posts also include thought leadership on B2B buyer behavior and sponsored content for unrelated companies such as Consensus and NerdioCon.,2026-06-19,No,,Other,"Operations and marketing teams at SMBs and fast-scaling startups use Chatsheet to automate repetitive data entry, bulk outreach, and document processing workflows directly from a spreadsheet interface.",Funded,,Partial,Website: https://chatsheet.com/ | LinkedIn (company funding data): https://www.linkedin.com/company/chatsheet | Funding (web search): https://pitchbook.com/profiles/company/527763-34,,2026-07-09
